url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart
http://www.billboard.com/charts/hot-100/2013-08-31,8/31/2013,16,That's My Kind Of Night,Luke Bryan,That's My Kind Of NightLuke Bryan,1,,16,1
http://www.billboard.com/charts/hot-100/2013-11-23,11/23/2013,16,Say Something,A Great Big World & Christina Aguilera,Say SomethingA Great Big World & Christina Aguilera,1,,16,1
http://www.billboard.com/charts/hot-100/2014-07-19,7/19/2014,16,Amnesia,5 Seconds Of Summer,Amnesia5 Seconds Of Summer,1,,16,1
http://www.billboard.com/charts/hot-100/2016-04-23,4/23/2016,16,Pop Style,Drake Featuring The Throne,Pop StyleDrake Featuring The Throne,1,,16,1
http://www.billboard.com/charts/hot-100/2017-07-01,7/1/2017,16,2U,David Guetta Featuring Justin Bieber,2UDavid Guetta Featuring Justin Bieber,1,,16,1
http://www.billboard.com/charts/hot-100/1975-03-01,3/1/1975,43,Don't Take Your Love,The Manhattans,Don't Take Your LoveThe Manhattans,1,37,37,9
http://www.billboard.com/charts/hot-100/1975-03-08,3/8/1975,61,Don't Take Your Love,The Manhattans,Don't Take Your LoveThe Manhattans,1,43,37,10
http://www.billboard.com/charts/hot-100/1992-04-18,4/18/1992,88,Don't Talk Just Kiss,Right Said Fred,Don't Talk Just KissRight Said Fred,1,,88,1
http://www.billboard.com/charts/hot-100/1992-04-25,4/25/1992,82,Don't Talk Just Kiss,Right Said Fred,Don't Talk Just KissRight Said Fred,1,88,82,2
http://www.billboard.com/charts/hot-100/1992-05-02,5/2/1992,81,Don't Talk Just Kiss,Right Said Fred,Don't Talk Just KissRight Said Fred,1,82,81,3
http://www.billboard.com/charts/hot-100/1992-05-09,5/9/1992,76,Don't Talk Just Kiss,Right Said Fred,Don't Talk Just KissRight Said Fred,1,81,76,4
http://www.billboard.com/charts/hot-100/1992-05-16,5/16/1992,78,Don't Talk Just Kiss,Right Said Fred,Don't Talk Just KissRight Said Fred,1,76,76,5
http://www.billboard.com/charts/hot-100/1992-05-23,5/23/1992,78,Don't Talk Just Kiss,Right Said Fred,Don't Talk Just KissRight Said Fred,1,78,76,6
http://www.billboard.com/charts/hot-100/1992-05-30,5/30/1992,89,Don't Talk Just Kiss,Right Said Fred,Don't Talk Just KissRight Said Fred,1,78,76,7
http://www.billboard.com/charts/hot-100/1982-03-06,3/6/1982,57,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,,57,1
http://www.billboard.com/charts/hot-100/1982-03-13,3/13/1982,36,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,57,36,2
http://www.billboard.com/charts/hot-100/1982-03-20,3/20/1982,24,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,36,24,3
http://www.billboard.com/charts/hot-100/1982-03-27,3/27/1982,14,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,24,14,4
http://www.billboard.com/charts/hot-100/1982-04-03,4/3/1982,8,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,14,8,5
http://www.billboard.com/charts/hot-100/1982-04-10,4/10/1982,6,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,8,6,6
http://www.billboard.com/charts/hot-100/1982-04-17,4/17/1982,6,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,6,6,7
http://www.billboard.com/charts/hot-100/1982-04-24,4/24/1982,5,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,6,5,8
http://www.billboard.com/charts/hot-100/1982-05-01,5/1/1982,5,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,5,5,9
http://www.billboard.com/charts/hot-100/1982-05-08,5/8/1982,4,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,5,4,10
http://www.billboard.com/charts/hot-100/1982-05-15,5/15/1982,3,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,4,3,11
http://www.billboard.com/charts/hot-100/1982-05-22,5/22/1982,2,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,3,2,12
http://www.billboard.com/charts/hot-100/1982-05-29,5/29/1982,2,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,2,2,13
http://www.billboard.com/charts/hot-100/1982-06-05,6/5/1982,2,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,2,2,14
http://www.billboard.com/charts/hot-100/1982-06-12,6/12/1982,2,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,2,2,15
http://www.billboard.com/charts/hot-100/1982-06-19,6/19/1982,14,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,2,2,16
http://www.billboard.com/charts/hot-100/1982-06-26,6/26/1982,17,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,14,2,17
http://www.billboard.com/charts/hot-100/1982-07-03,7/3/1982,68,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,17,2,18
http://www.billboard.com/charts/hot-100/1982-07-10,7/10/1982,85,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,68,2,19
http://www.billboard.com/charts/hot-100/1982-07-17,7/17/1982,85,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,85,2,20
http://www.billboard.com/charts/hot-100/1982-07-24,7/24/1982,97,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,85,2,21
